timestamp,010C,010D,0105,0110,0111,012F,rpm,vel
2025-06-02 07:18:05,60,68,,,,,,
2025-06-02 07:18:05,72,57,,,,,,
2025-06-02 07:18:06,35,8,,,,,,
2025-06-02 07:18:06,97,90,,,,,,
2025-06-02 07:18:06,9,46,,,,,,
2025-06-02 07:18:06,67,40,,,,,,
2025-06-02 07:18:06,5,4,,,,,,
2025-06-02 07:18:06,26,46,,,,,,
2025-06-02 07:18:06,52,6,,,,,,
2025-06-02 07:18:06,48,14,,,,,,
2025-06-02 07:18:06,4,75,,,,,,
2025-06-02 07:18:07,1,50,,,,,,
2025-06-02 07:18:07,17,24,,,,,,
2025-06-02 07:18:07,8,82,,,,,,
2025-06-02 07:18:07,36,17,,,,,,
2025-06-02 07:18:07,89,45,,,,,,
2025-06-02 07:18:07,10,55,,,,,,
2025-06-02 07:18:07,90,92,,,,,,
2025-06-02 07:18:07,36,91,,,,,,
2025-06-02 07:18:07,15,56,,,,,,
2025-06-02 07:18:08,87,82,,,,,,
2025-06-02 07:18:08,24,11,,,,,,
2025-06-02 07:18:08,88,1,,,,,,
2025-06-02 07:18:08,51,10,,,,,,
2025-06-02 07:18:08,77,15,,,,,,
2025-06-02 07:18:08,58,14,,,,,,
2025-06-02 07:18:08,56,10,,,,,,
2025-06-02 07:18:08,14,22,,,,,,
2025-06-02 07:18:08,20,20,,,,,,
2025-06-02 07:18:09,35,12,,,,,,
2025-06-02 07:18:09,92,77,,,,,,
2025-06-02 07:18:09,82,13,,,,,,
2025-06-02 07:18:09,65,27,,,,,,
2025-06-02 07:18:09,3,1,,,,,,
2025-06-02 07:18:09,74,32,,,,,,
2025-06-02 07:18:09,7,71,,,,,,
2025-06-02 07:18:09,86,84,,,,,,
2025-06-02 07:18:09,94,90,,,,,,
2025-06-02 07:18:10,48,88,,,,,,
2025-06-02 07:18:10,38,68,,,,,,
2025-06-02 07:18:10,97,18,,,,,,
2025-06-02 07:18:10,20,23,,,,,,
2025-06-02 07:18:10,69,82,,,,,,
2025-06-02 07:18:10,9,9,,,,,,
2025-06-02 07:18:10,80,41,,,,,,
2025-06-02 07:18:10,34,100,,,,,,
2025-06-02 07:18:10,81,95,,,,,,
2025-06-02 07:18:11,36,73,,,,,,
2025-06-02 07:18:11,100,13,,,,,,
2025-06-02 07:18:11,92,83,,,,,,
2025-06-02 07:18:11,38,82,,,,,,
2025-06-02 07:18:11,98,7,,,,,,
2025-06-02 07:18:11,17,85,,,,,,
2025-06-02 07:18:11,65,21,,,,,,
2025-06-02 07:18:11,100,82,,,,,,
2025-06-02 07:18:11,77,59,,,,,,
2025-06-02 07:18:11,51,92,,,,,,
2025-06-02 07:18:12,75,95,,,,,,
2025-06-02 07:18:12,0,42,,,,,,
2025-06-02 07:18:12,90,75,,,,,,
2025-06-02 07:18:12,89,74,,,,,,
2025-06-02 07:18:12,83,98,,,,,,
2025-06-02 07:18:12,0,72,,,,,,
2025-06-02 07:18:12,53,76,,,,,,
2025-06-02 07:18:12,63,85,,,,,,
2025-06-02 07:18:12,44,94,,,,,,
2025-06-02 07:18:13,71,71,,,,,,
2025-06-02 07:18:13,39,100,,,,,,
2025-06-02 07:18:13,62,,,,,,764,84
2025-06-02 07:18:13,77,,,,,,804,108
2025-06-02 07:18:13,75,,,,,,759,101
2025-06-02 07:18:13,38,,,,,,783,111
2025-06-02 07:18:13,89,,,,,,839,57
2025-06-02 07:18:13,31,,,,,,935,86
2025-06-02 07:18:13,33,,,,,,802,26
2025-06-02 07:18:14,69,,,,,,922,27
2025-06-02 07:18:14,65,,,,,,902,3
2025-06-02 07:18:14,86,,48,,,,896,48
2025-06-02 07:18:14,99,,91,,,,851,70
2025-06-02 07:18:14,83,,90,,,,881,79
2025-06-02 07:18:14,15,,13,,,,865,49
2025-06-02 07:18:14,46,,90,,,,881,83
2025-06-02 07:18:14,57,,56,,,,917,120
2025-06-02 07:18:14,47,,22,,,,895,37
2025-06-02 07:18:15,17,,95,,,,910,95
2025-06-02 07:18:15,70,,82,,,,897,25
2025-06-02 07:18:15,64,,91,,,,903,42
2025-06-02 07:18:15,73,,26,,,,786,13
2025-06-02 07:18:15,34,,14,,,,868,117
2025-06-02 07:18:15,48,,89,,,,762,79
2025-06-02 07:18:15,37,,30,,,,899,38
2025-06-02 07:18:15,89,,78,,,,786,7
2025-06-02 07:18:15,77,,68,,,,917,66
2025-06-02 07:18:16,42,,5,,,,948,1
2025-06-02 07:18:16,36,,73,,,,930,71
