2025-06-02 18:57:27,027 [INFO] --- INICIO DE SESIÓN OBD-II: log_20250602_185727.txt ---
2025-06-02 18:58:25,061 [INFO] Emulador: PID=010C, valor=
2025-06-02 18:58:25,062 [INFO] Emulador: PID=010D, valor=
2025-06-02 18:58:25,062 [INFO] Emulador: PID=0105, valor=85
2025-06-02 18:58:25,062 [INFO] Emulador: PID=0110, valor=2.99
2025-06-02 18:58:25,062 [INFO] Emulador: PID=0111, valor=12
2025-06-02 18:58:25,063 [INFO] Emulador: PID=012F, valor=100.0
2025-06-02 18:58:25,063 [INFO] Emulador: PID=rpm, valor=862
2025-06-02 18:58:25,063 [INFO] Emulador: PID=vel, valor=0
2025-06-02 18:58:25,122 [INFO] Emulador: PID=010C, valor=
2025-06-02 18:58:25,122 [INFO] Emulador: PID=010D, valor=
2025-06-02 18:58:25,122 [INFO] Emulador: PID=0105, valor=73
2025-06-02 18:58:25,122 [INFO] Emulador: PID=0110, valor=2.78
2025-06-02 18:58:25,122 [INFO] Emulador: PID=0111, valor=8
2025-06-02 18:58:25,122 [INFO] Emulador: PID=012F, valor=100.0
2025-06-02 18:58:25,122 [INFO] Emulador: PID=rpm, valor=865
2025-06-02 18:58:25,122 [INFO] Emulador: PID=vel, valor=0
2025-06-02 18:58:25,231 [INFO] Emulador: PID=010C, valor=
2025-06-02 18:58:25,231 [INFO] Emulador: PID=010D, valor=
2025-06-02 18:58:25,231 [INFO] Emulador: PID=0105, valor=78
2025-06-02 18:58:25,231 [INFO] Emulador: PID=0110, valor=2.95
2025-06-02 18:58:25,231 [INFO] Emulador: PID=0111, valor=14
2025-06-02 18:58:25,231 [INFO] Emulador: PID=012F, valor=100.0
2025-06-02 18:58:25,231 [INFO] Emulador: PID=rpm, valor=824
2025-06-02 18:58:25,231 [INFO] Emulador: PID=vel, valor=0
2025-06-02 18:58:25,340 [INFO] Emulador: PID=010C, valor=
2025-06-02 18:58:25,340 [INFO] Emulador: PID=010D, valor=
2025-06-02 18:58:25,340 [INFO] Emulador: PID=0105, valor=73
2025-06-02 18:58:25,340 [INFO] Emulador: PID=0110, valor=2.78
2025-06-02 18:58:25,340 [INFO] Emulador: PID=0111, valor=8
2025-06-02 18:58:25,340 [INFO] Emulador: PID=012F, valor=100.0
2025-06-02 18:58:25,340 [INFO] Emulador: PID=rpm, valor=908
2025-06-02 18:58:25,340 [INFO] Emulador: PID=vel, valor=0
2025-06-02 18:58:25,451 [INFO] Emulador: PID=010C, valor=
2025-06-02 18:58:25,451 [INFO] Emulador: PID=010D, valor=
2025-06-02 18:58:25,451 [INFO] Emulador: PID=0105, valor=82
