Timestamp,PID,Name,Value,Unit
2025-06-08 12:27:04.892,010C,RPM,828,RPM
2025-06-08 12:27:07.470,010F,Temp_Admision,-28,°C
2025-06-08 12:27:11.055,010C,RPM,830,RPM
2025-06-08 12:27:11.254,010C,RPM,831,RPM
2025-06-08 12:27:11.454,010C,RPM,829,RPM
2025-06-08 12:27:12.193,010F,Temp_Admision,-28,°C
2025-06-08 12:27:12.193,0142,Voltaje,14.3,V
2025-06-08 12:27:12.300,010C,RPM,829,RPM
2025-06-08 12:27:12.513,010C,RPM,830,RPM
2025-06-08 12:27:12.975,010F,Temp_Admision,21,°C
2025-06-08 12:27:14.099,010F,Temp_Admision,-28,°C
2025-06-08 12:27:14.099,0142,Voltaje,14.3,V
2025-06-08 12:27:14.099,010B,Presion_MAP,105,kPa
2025-06-08 12:27:14.200,010C,RPM,830,RPM
2025-06-08 12:27:14.392,010C,RPM,830,RPM
2025-06-08 12:27:14.590,010C,RPM,831,RPM
2025-06-08 12:27:15.147,010F,Temp_Admision,21,°C
2025-06-08 12:27:15.147,0142,Voltaje,14.3,V
2025-06-08 12:27:15.147,010B,Presion_MAP,105,kPa
2025-06-08 12:27:15.241,010C,RPM,830,RPM
2025-06-08 12:27:15.468,010C,RPM,830,RPM
2025-06-08 12:27:16.101,010F,Temp_Admision,21,°C
2025-06-08 12:27:16.101,0142,Voltaje,14.3,V
2025-06-08 12:27:16.101,010B,Presion_MAP,105,kPa
2025-06-08 12:27:16.200,010C,RPM,829,RPM
2025-06-08 12:27:16.388,010C,RPM,829,RPM
2025-06-08 12:27:16.571,010C,RPM,830,RPM
2025-06-08 12:27:17.130,010F,Temp_Admision,21,°C
2025-06-08 12:27:17.130,0142,Voltaje,14.3,V
2025-06-08 12:27:17.130,010B,Presion_MAP,105,kPa
2025-06-08 12:27:17.209,010C,RPM,830,RPM
2025-06-08 12:27:17.398,010C,RPM,831,RPM
